id,user_id,doubt_id,created_at,activity_type,user_type
2204041,171230,253095,2020-01-09 15:59:40 UTC,resolve,Student
2204076,342509,248587,2020-01-09 16:00:41 UTC,resolve,Student
2204091,500067,248271,2020-01-09 16:00:51 UTC,resolve,Student
2204160,251298,248421,2020-01-09 16:04:56 UTC,resolve,Student
2204271,231342,252533,2020-01-09 16:08:46 UTC,resolve,Student
2204293,337334,253029,2020-01-09 16:09:37 UTC,resolve,Student
2204411,361934,253027,2020-01-09 16:14:15 UTC,resolve,Student
2204481,175836,252985,2020-01-09 16:16:17 UTC,resolve,Student
2204679,29966,252772,2020-01-09 16:22:45 UTC,resolve,Student
2204692,29966,252107,2020-01-09 16:23:24 UTC,resolve,Student
2204752,342018,251570,2020-01-09 16:25:05 UTC,resolve,Student
2204803,29966,252104,2020-01-09 16:26:05 UTC,resolve,Student
2205002,485944,251201,2020-01-09 16:32:00 UTC,resolve,Student
2205194,316986,252000,2020-01-09 16:38:28 UTC,resolve,Student
2205366,315459,253100,2020-01-09 16:46:00 UTC,resolve,Student
2205442,399202,252861,2020-01-09 16:48:41 UTC,resolve,Student
2205516,96992,248295,2020-01-09 16:51:42 UTC,resolve,Student
2205528,283401,251967,2020-01-09 16:51:59 UTC,resolve,Student
2205562,398762,253185,2020-01-09 16:52:54 UTC,resolve,Student
2205606,497596,252945,2020-01-09 16:55:03 UTC,resolve,Student
2205633,405725,252171,2020-01-09 16:55:43 UTC,resolve,Student
2205656,497596,253088,2020-01-09 16:56:18 UTC,resolve,Student
2205799,355777,248984,2020-01-09 17:00:52 UTC,resolve,Student
2205801,61217,248856,2020-01-09 17:00:53 UTC,resolve,Student
2205803,326345,248247,2020-01-09 17:00:55 UTC,resolve,Student
2205818,143791,251169,2020-01-09 17:01:05 UTC,resolve,Student
2205824,143791,251160,2020-01-09 17:01:13 UTC,resolve,Student
2205951,41697,249180,2020-01-09 17:06:00 UTC,resolve,Student
2205987,437356,252988,2020-01-09 17:07:15 UTC,resolve,Student
2206129,38314,250914,2020-01-09 17:13:00 UTC,resolve,Student
2206243,347212,250179,2020-01-09 17:16:21 UTC,resolve,Student
2206289,492992,252607,2020-01-09 17:17:50 UTC,resolve,Student
2206308,39358,252631,2020-01-09 17:18:36 UTC,resolve,Student
2206322,303484,251728,2020-01-09 17:18:56 UTC,resolve,Student
2206422,437356,252889,2020-01-09 17:22:48 UTC,resolve,Student
2206620,496238,252592,2020-01-09 17:30:16 UTC,resolve,Student
2206679,417892,252056,2020-01-09 17:32:50 UTC,resolve,Student
2206701,442055,250132,2020-01-09 17:33:48 UTC,resolve,Student
2206823,478972,252690,2020-01-09 17:39:27 UTC,resolve,Student
2206876,351739,252330,2020-01-09 17:41:49 UTC,resolve,Student
2206908,125996,251097,2020-01-09 17:43:07 UTC,resolve,Student
2207095,340717,252114,2020-01-09 17:53:22 UTC,resolve,Student
2207198,24289,252176,2020-01-09 17:59:35 UTC,resolve,Student
2207234,129846,248495,2020-01-09 18:00:42 UTC,resolve,Student
2207665,496238,253026,2020-01-09 18:28:14 UTC,resolve,Student
2207718,468453,251836,2020-01-09 18:35:02 UTC,resolve,Student
2207799,320696,252632,2020-01-09 18:44:37 UTC,resolve,Student
2207810,18681,252292,2020-01-09 18:45:35 UTC,resolve,Student
2208025,338296,248873,2020-01-09 19:11:27 UTC,resolve,Student
2208131,471630,252164,2020-01-09 19:36:02 UTC,resolve,Student
2208235,77360,251776,2020-01-09 19:59:50 UTC,resolve,Student
2208332,297488,252769,2020-01-09 20:29:19 UTC,resolve,Student
2208449,110413,249162,2020-01-10 01:00:44 UTC,resolve,Student
2208591,367920,253051,2020-01-10 03:28:26 UTC,resolve,Student
2208633,292295,248694,2020-01-10 04:00:43 UTC,resolve,Student
2208749,398933,252828,2020-01-10 04:36:31 UTC,resolve,Student
2208840,165368,252811,2020-01-10 04:48:21 UTC,resolve,Student
2208934,240952,251812,2020-01-10 05:12:58 UTC,resolve,Student
2209059,487222,253109,2020-01-10 05:39:20 UTC,resolve,Student
2209090,465007,249858,2020-01-10 05:44:39 UTC,resolve,Student
2209092,465007,251275,2020-01-10 05:45:00 UTC,resolve,Student
2209296,329643,252178,2020-01-10 06:30:18 UTC,resolve,Student
2209438,503694,248876,2020-01-10 07:00:41 UTC,resolve,Student
2210158,332893,252418,2020-01-10 08:19:09 UTC,resolve,Student
2210264,332893,253194,2020-01-10 08:33:12 UTC,resolve,Student
2210354,343379,252879,2020-01-10 08:50:34 UTC,resolve,Student
2210400,162422,249463,2020-01-10 09:00:43 UTC,resolve,Student
2210601,33881,251813,2020-01-10 09:43:25 UTC,resolve,Student
2210839,178407,252083,2020-01-10 10:15:28 UTC,resolve,Student
2211024,30533,252371,2020-01-10 10:49:55 UTC,resolve,Student
2211072,309443,252697,2020-01-10 11:01:19 UTC,resolve,Student
2211073,309443,252729,2020-01-10 11:01:38 UTC,resolve,Student
2211082,301598,252798,2020-01-10 11:04:27 UTC,resolve,Student
2211087,398838,253034,2020-01-10 11:07:19 UTC,resolve,Student
2211122,474987,253020,2020-01-10 11:17:18 UTC,resolve,Student
2211427,348972,249307,2020-01-10 12:00:38 UTC,resolve,Student
2212189,159875,252092,2020-01-10 13:06:46 UTC,resolve,Student
2212307,323403,252816,2020-01-10 13:11:18 UTC,resolve,Student
2212314,10694,252740,2020-01-10 13:11:53 UTC,resolve,Student
2212357,441241,252941,2020-01-10 13:15:04 UTC,resolve,Student
2212376,486796,253032,2020-01-10 13:16:41 UTC,resolve,Student
2212556,478749,251412,2020-01-10 13:31:46 UTC,resolve,Student
2212638,46635,252674,2020-01-10 13:34:41 UTC,resolve,Student
2212694,235733,250750,2020-01-10 13:37:29 UTC,resolve,Student
2212718,161686,250799,2020-01-10 13:38:08 UTC,resolve,Student
2212790,315459,253131,2020-01-10 13:41:12 UTC,resolve,Student
2213210,174005,248315,2020-01-10 14:00:39 UTC,resolve,Student
2213470,240952,252046,2020-01-10 14:10:31 UTC,resolve,Student
2213554,234564,248304,2020-01-10 14:14:57 UTC,resolve,Student
2213617,303484,251778,2020-01-10 14:18:40 UTC,resolve,Student
2214051,303484,251852,2020-01-10 14:35:24 UTC,resolve,Student
2214121,200964,252193,2020-01-10 14:39:13 UTC,resolve,Student
2214140,485853,251875,2020-01-10 14:39:44 UTC,resolve,Student
2214465,276332,253167,2020-01-10 15:00:36 UTC,resolve,Student
2214676,210646,252018,2020-01-10 15:12:33 UTC,resolve,Student
2214763,176053,248448,2020-01-10 15:19:30 UTC,resolve,Student
2214774,373246,252858,2020-01-10 15:20:21 UTC,resolve,Student
2214812,282065,253196,2020-01-10 15:22:18 UTC,resolve,Student
2215464,373246,252822,2020-01-10 15:50:19 UTC,resolve,Student
2215611,373246,253011,2020-01-10 15:59:29 UTC,resolve,Student
2215650,505387,248859,2020-01-10 16:00:41 UTC,resolve,Student
2215658,40476,248372,2020-01-10 16:00:47 UTC,resolve,Student
2215659,310115,248313,2020-01-10 16:00:48 UTC,resolve,Student
2215667,463840,248752,2020-01-10 16:00:55 UTC,resolve,Student
2215668,156814,249266,2020-01-10 16:00:56 UTC,resolve,Student
2215886,13137,251630,2020-01-10 16:13:00 UTC,resolve,Student
2216059,485616,252755,2020-01-10 16:21:42 UTC,resolve,Student
2216061,332650,252555,2020-01-10 16:21:50 UTC,resolve,Student
2216129,1436,252215,2020-01-10 16:26:28 UTC,resolve,Student
2216322,68827,252006,2020-01-10 16:34:20 UTC,resolve,Student
2216359,163177,252923,2020-01-10 16:35:59 UTC,resolve,Student
2216875,89268,252963,2020-01-10 16:55:36 UTC,resolve,Student
2217003,229110,249610,2020-01-10 17:00:47 UTC,resolve,Student
2217014,182415,249473,2020-01-10 17:00:56 UTC,resolve,Student
2217017,273480,249450,2020-01-10 17:00:59 UTC,resolve,Student
2217148,123864,252778,2020-01-10 17:08:43 UTC,resolve,Student
2217175,376196,249523,2020-01-10 17:10:11 UTC,resolve,Student
2217201,33913,252096,2020-01-10 17:11:40 UTC,resolve,Student
2217217,418348,252238,2020-01-10 17:13:01 UTC,resolve,Student
2217343,507770,252864,2020-01-10 17:21:05 UTC,resolve,Student
2217394,376196,249561,2020-01-10 17:23:59 UTC,resolve,Student
2217474,219915,252138,2020-01-10 17:28:39 UTC,resolve,Student
2217503,243814,250576,2020-01-10 17:30:41 UTC,resolve,Student
2217541,410635,252112,2020-01-10 17:34:14 UTC,resolve,Student
2217723,342689,250426,2020-01-10 17:47:03 UTC,resolve,Student
2217837,296651,253186,2020-01-10 17:57:15 UTC,resolve,Student
2217920,171143,252010,2020-01-10 18:03:36 UTC,resolve,Student
2217962,243814,250649,2020-01-10 18:08:30 UTC,resolve,Student
2218035,360714,253102,2020-01-10 18:15:07 UTC,resolve,Student
2218045,360714,252880,2020-01-10 18:15:46 UTC,resolve,Student
2218069,408200,251008,2020-01-10 18:18:58 UTC,resolve,Student
2218333,245086,252767,2020-01-10 18:57:09 UTC,resolve,Student
2218357,388624,249633,2020-01-10 19:00:50 UTC,resolve,Student
2218361,462063,249480,2020-01-10 19:00:54 UTC,resolve,Student
2218364,370180,248820,2020-01-10 19:00:57 UTC,resolve,Student
